Team,Shutout Percentage,Scoring Offense,Shots Per Game,Goals Against Average,Points Per Game,Save Percentage,Win-Loss-Tied Percentage,Assists Per Game,Fouls Per Game,Yellow Cards,Penalty Kicks,Red Cards,Corner Kicks Per Game,Shot Accuracy,Saves per Game,Shots on Goal Per Game,Total Assists,Total Goals,Total Points
Georgetown,.200,1.80,12.80,1.000,5.00,.773,.600,1.40,7.20,1,1.000,,6.60,.500,3.40,6.40,7,9,25
Georgia,.571,2.57,18.00,.429,6.57,.800,.643,1.43,8.43,5,.000,,5.14,.397,1.71,7.14,10,18,46
Georgia St.,.500,2.50,18.33,1.333,7.17,.778,.500,2.17,6.67,2,.000,,5.83,.500,4.67,9.17,13,15,43
Gonzaga,.200,1.20,14.40,1.200,3.80,.727,.400,1.40,8.80,2,.333,,7.20,.417,3.20,6.00,7,6,19
Grambling,.333,1.17,12.17,1.200,3.67,.700,.417,1.33,7.00,4,1.000,,3.33,.397,2.33,4.83,8,7,22
Grand Canyon,.750,1.25,11.50,1.000,3.50,.875,.750,1.00,11.50,2,.000,,3.75,.391,7.00,4.50,4,5,14
Green Bay,.200,2.00,10.00,2.400,5.40,.520,.300,1.40,12.00,3,1.000,,5.20,.540,2.60,5.40,7,10,27
Hampton,.400,1.60,24.80,1.600,4.00,.692,.400,.80,11.40,5,.000,,4.00,.411,3.60,10.20,4,8,20
Harvard,.250,.75,12.25,1.500,2.25,.786,.125,.75,12.00,5,1.000,,6.50,.449,5.50,5.50,3,3,9
Hawaii,.286,1.43,15.14,1.857,4.43,.667,.429,1.57,9.86,5,.000,,5.29,.462,3.71,7.00,11,10,31
High Point,.000,.50,6.50,1.333,1.33,.795,.167,.33,10.50,,.000,,2.17,.564,5.17,3.67,2,3,8
Hofstra,.200,1.80,14.20,1.600,4.60,.619,.700,1.00,12.00,10,.500,,4.60,.394,2.60,5.60,5,9,23
Holy Cross,.167,1.33,12.33,1.333,4.00,.800,.417,1.33,11.33,2,1.000,1,6.33,.365,5.33,4.50,8,8,24
Houston,.800,4.40,25.00,.200,12.00,.917,.900,3.20,9.40,2,.667,,6.80,.528,2.20,13.20,16,22,60
Houston Christian,.167,.83,9.00,1.833,2.67,.756,.333,1.00,6.33,,.000,,3.67,.500,5.67,4.50,6,5,16
Howard,.000,1.17,12.83,1.167,2.67,.781,.417,.33,7.17,1,1.000,,4.17,.481,4.17,6.17,2,7,16
IU Indy,.167,.83,13.67,1.500,2.33,.735,.167,.67,8.00,1,.000,,4.50,.415,4.17,5.67,4,5,14
Idaho,.571,1.14,9.71,.857,3.43,.778,.571,1.14,8.29,3,.500,,4.71,.485,3.00,4.71,8,8,24
Idaho St.,.200,1.40,12.00,1.200,4.80,.778,.600,2.00,8.20,6,.000,,4.00,.417,4.20,5.00,10,7,24
Illinois,.833,1.50,10.83,.167,4.17,.968,1.000,1.17,7.67,3,1.000,,3.00,.554,5.00,6.00,7,9,25
Illinois St.,.429,1.57,13.71,1.286,4.43,.780,.500,1.29,10.14,3,.000,1,6.14,.438,4.57,6.00,9,11,31
Indiana,.200,2.00,15.20,1.200,5.40,.750,.500,1.40,7.00,1,1.000,,5.80,.421,3.60,6.40,7,10,27
Indiana St.,.286,3.14,18.43,2.143,8.43,.659,.429,2.14,9.43,4,.500,,5.00,.496,4.14,9.14,15,22,59
Iona,.333,.17,8.17,2.667,.50,.568,.250,.17,10.17,3,.000,,7.33,.449,3.50,3.67,1,1,3
Iowa,.667,1.83,17.83,.833,5.33,.762,.750,1.67,13.17,7,.500,,6.17,.449,2.67,8.00,10,11,32
Iowa St.,.250,1.00,9.25,1.000,3.25,.846,.500,1.25,12.25,6,.000,,3.50,.459,5.50,4.25,5,4,13
Jackson St.,.000,.67,3.33,2.200,1.67,.744,.250,.33,9.33,16,.000,1,.83,.700,5.33,2.33,2,4,10
Jacksonville,.200,3.20,18.40,1.400,8.80,.667,.400,2.40,6.00,3,.000,,5.40,.587,2.80,10.80,12,16,44
Jacksonville St.,.333,1.00,9.50,1.167,2.33,.731,.500,.33,5.83,3,.000,,4.00,.474,3.17,4.50,2,6,14
James Madison,.429,2.14,9.86,1.143,6.71,.750,.714,2.43,7.14,7,.000,,4.14,.493,3.43,4.86,17,15,47
Kansas,.333,2.17,15.33,1.000,6.00,.750,.833,1.67,12.50,7,.500,,6.83,.435,3.00,6.67,10,13,36
Kansas City,.429,2.14,10.57,1.571,6.57,.676,.571,2.29,11.43,12,1.000,,3.86,.486,3.29,5.14,16,15,46
Kansas St.,1.000,2.00,14.80,.000,5.80,1.000,.900,1.80,12.20,1,.000,,6.20,.446,3.00,6.60,9,10,29
Kennesaw St.,.000,.80,5.60,4.400,1.80,.585,.100,.20,10.00,6,1.000,1,2.40,.321,6.20,1.80,1,4,9
Kent St.,.167,1.67,10.17,2.333,4.67,.682,.500,1.33,12.33,3,.000,1,5.50,.557,5.00,5.67,8,10,28
Kentucky,.714,3.57,23.00,.429,9.71,.750,.857,2.57,10.00,4,.667,,12.14,.404,1.29,9.29,18,25,68
LIU,.500,.75,10.00,1.000,2.50,.765,.500,1.00,9.75,4,.000,,5.25,.325,3.25,3.25,4,3,10
LMU (CA),.000,1.33,9.67,1.667,3.67,.750,.667,1.00,4.67,,.000,,2.33,.517,5.00,5.00,3,4,11
LSU,.286,2.14,16.14,1.286,6.00,.654,.571,1.71,8.57,6,.500,,4.71,.416,2.43,6.71,12,15,42
La Salle,.000,1.25,9.50,1.750,3.00,.696,.250,.50,6.75,2,.000,,6.50,.526,4.00,5.00,2,5,12
Lafayette,.500,1.33,11.17,1.667,3.50,.677,.500,.83,7.00,1,.000,,4.00,.507,3.50,5.67,5,8,21
Lamar University,.167,1.33,12.83,1.333,4.00,.758,.417,1.33,9.83,7,.000,1,3.17,.481,4.17,6.17,8,8,24
Lehigh,.000,1.20,9.80,1.600,3.00,.765,.500,.60,7.00,2,.500,,3.60,.388,5.20,3.80,3,6,15
Liberty,.286,1.71,13.71,1.000,5.00,.696,.714,1.57,9.00,1,.000,,4.43,.542,2.29,7.43,11,12,35
Lindenwood,.500,1.17,9.83,.833,3.17,.868,.667,.83,6.67,7,.667,,5.83,.390,5.50,3.83,5,7,19
Lipscomb,.333,1.67,11.50,1.333,4.50,.704,.583,1.17,9.33,6,.000,,4.67,.493,3.17,5.67,7,10,27
Little Rock,.200,2.60,19.60,1.800,6.60,.625,.500,1.40,8.40,7,.000,,4.20,.367,3.00,7.20,7,13,33
Long Beach St.,.167,1.67,13.00,1.667,5.33,.688,.333,2.00,8.33,4,.000,,3.83,.551,3.67,7.17,12,10,32
Longwood,.286,1.71,12.14,1.286,4.71,.775,.500,1.29,8.71,9,1.000,,5.86,.541,4.43,6.57,9,12,33
Louisiana,.333,1.67,15.17,1.000,4.50,.760,.500,1.17,8.67,4,1.000,,6.17,.495,3.17,7.50,7,10,27
Louisiana Tech,.143,.71,7.71,2.714,2.00,.736,.214,.57,8.86,6,.000,,1.71,.463,7.57,3.57,4,5,14
Louisville,.714,5.00,22.57,.571,15.43,.750,.857,5.43,9.71,6,.750,,6.29,.494,1.71,11.14,38,35,108
Loyola Chicago,.800,.80,13.60,.400,2.00,.889,.700,.40,,6,.000,,5.00,.426,3.20,5.80,2,4,10
Loyola Maryland,.400,1.20,9.60,.800,3.80,.833,.700,1.40,10.00,3,.000,,4.60,.479,4.00,4.60,7,6,19
Maine,.000,1.50,13.25,2.250,3.75,.625,.375,.75,9.75,4,.000,,5.75,.491,3.75,6.50,3,6,15
Manhattan,.167,1.17,10.83,1.333,3.17,.680,.500,.83,10.17,3,.000,,4.33,.492,2.83,5.33,5,7,19
Marist,.000,.80,8.60,2.600,2.60,.519,.000,1.00,10.80,3,.000,,3.00,.535,2.80,4.60,5,4,13
Marquette,.429,1.86,13.57,1.143,5.29,.692,.571,1.57,10.57,4,.500,,5.29,.505,2.57,6.86,11,13,37
Marshall,.400,3.00,16.40,1.000,9.40,.643,.800,3.40,9.80,10,1.000,1,6.00,.524,1.80,8.60,17,15,47
Maryland,.429,1.71,12.14,1.007,5.29,.781,.571,1.86,5.86,4,.000,1,4.57,.541,3.57,6.57,13,12,37
Massachusetts,.400,1.00,11.80,1.200,3.20,.833,.600,1.20,11.00,4,.000,,5.40,.424,6.00,5.00,6,5,16
McNeese,.143,1.14,8.71,3.571,3.29,.671,.286,1.00,8.00,12,.000,,2.86,.574,7.29,5.00,7,8,23
Memphis,.667,3.17,14.83,.500,8.67,.833,.917,2.33,7.17,5,.000,,4.50,.461,2.50,6.83,14,19,52
Mercer,.200,2.00,16.00,1.600,5.40,.724,.600,1.40,6.60,4,.000,,3.60,.512,4.20,8.20,7,10,27
Merrimack,.167,1.33,11.33,2.667,3.50,.795,.333,.83,9.50,8,1.000,,4.17,.529,10.33,6.00,5,8,21
Miami (FL),.500,1.83,13.00,.833,4.50,.773,.750,.83,10.83,9,1.000,1,8.17,.462,2.83,6.00,5,11,27
Miami (OH),.333,1.50,14.83,1.167,4.00,.650,.500,1.00,13.00,5,.333,,5.83,.404,2.17,6.00,6,9,24
Michigan,.167,1.33,12.00,2.000,4.33,.647,.333,1.67,8.83,3,.000,,5.17,.389,3.67,4.67,10,8,26
Michigan St.,.429,2.43,15.43,1.429,6.43,.667,.571,1.57,10.71,6,.000,,7.29,.435,2.86,6.71,11,17,45
Middle Tenn.,.429,1.71,11.86,1.143,5.14,.692,.643,1.71,8.00,8,.000,,4.57,.578,2.57,6.86,12,12,36
Milwaukee,.167,1.33,9.83,3.167,4.17,.683,.250,1.50,9.00,4,.000,1,4.17,.475,6.83,4.67,9,8,25
Minnesota,.600,2.80,18.40,1.200,7.20,.812,.800,1.60,8.60,2,1.000,,7.00,.424,5.20,7.80,8,14,36
Mississippi St.,.600,2.00,16.00,.600,6.20,.800,.800,2.20,9.80,3,.667,,6.80,.412,2.40,6.60,11,10,31
Mississippi Val.,.000,,,,,.706,.000,,5.50,1,.000,,,,12.00,,,,
Missouri,.333,1.50,11.33,1.000,4.33,.739,.417,1.33,12.33,3,.000,,4.50,.426,2.83,4.83,8,9,26
Missouri St.,.143,1.57,11.00,1.857,4.43,.740,.357,1.29,10.71,8,.667,,3.14,.455,5.29,5.00,9,11,31
Monmouth,.333,1.67,14.83,1.500,5.50,.700,.667,2.17,9.00,4,.000,,4.83,.472,3.50,7.00,13,10,33
Montana,.200,1.40,13.80,1.200,3.60,.700,.500,.80,11.20,5,.500,,4.20,.406,2.80,5.60,4,7,18
Morehead St.,.333,.50,7.67,2.500,1.83,.694,.333,.83,9.67,5,.000,,3.17,.435,5.67,3.33,5,3,11
Mount St. Mary's,.000,1.60,7.60,3.600,4.60,.581,.400,1.40,13.40,8,1.000,,2.00,.658,5.00,5.00,7,8,23
Murray St.,.286,1.29,14.86,2.000,4.14,.682,.571,1.57,11.14,9,.000,1,4.71,.327,4.29,4.86,11,9,29
NC State,.143,.43,14.29,2.000,1.29,.562,.143,.43,12.43,9,.000,,5.29,.410,2.57,5.86,3,3,9
NIU,.333,.50,8.83,1.667,1.67,.643,.417,.67,9.00,2,.000,,4.67,.453,3.00,4.00,4,3,10
