Team,Shutout Percentage,Scoring Offense,Shots Per Game,Goals Against Average,Points Per Game,Save Percentage,Win-Loss-Tied Percentage,Assists Per Game,Fouls Per Game,Yellow Cards,Penalty Kicks,Red Cards,Corner Kicks Per Game,Shot Accuracy,Saves per Game,Shots on Goal Per Game,Total Assists,Total Goals,Total Points
Western Caro.,.286,1.14,13.14,1.571,2.86,.761,.429,.57,7.71,4,.500,,5.29,.413,5.00,5.43,4,8,20
Western Ill.,.167,.33,4.83,3.667,.83,.627,.167,.17,6.83,3,.000,,1.67,.448,6.17,2.17,1,2,5
Western Ky.,.333,2.67,13.67,.833,6.83,.737,.500,1.50,8.33,2,.000,,4.33,.512,2.33,7.00,9,16,41
Western Mich.,.250,1.25,8.75,1.250,4.00,.800,.500,1.50,15.50,4,.000,,4.00,.429,5.00,3.75,6,5,16
William & Mary,.167,1.00,11.00,1.333,2.50,.733,.417,.50,13.17,6,1.000,,3.67,.439,3.67,4.83,3,6,15
Winthrop,.600,.60,12.40,1.000,1.80,.722,.600,.60,6.40,1,.000,,2.40,.468,2.60,5.80,3,3,9
Wisconsin,.500,2.17,16.33,.500,6.17,.750,.833,1.83,8.67,4,1.000,,6.17,.388,1.50,6.33,11,13,37
Wofford,.143,.71,10.14,.857,2.00,.833,.357,.57,8.00,2,.000,,4.00,.451,4.29,4.57,4,5,14
Wright St.,.167,1.50,10.67,2.500,4.17,.700,.167,1.17,8.83,7,1.000,,5.33,.531,5.83,5.67,7,9,25
Wyoming,.600,1.40,14.60,.600,4.20,.842,.700,1.40,8.00,2,.000,,5.20,.384,3.20,5.60,7,7,21
Xavier,.333,3.00,18.67,1.500,8.50,.690,.583,2.50,9.67,2,1.000,,5.33,.473,3.33,8.83,15,18,51
Yale,.500,1.50,10.25,.750,4.25,.900,.500,1.25,12.75,7,.000,,2.50,.463,6.75,4.75,5,6,17
Youngstown St.,.167,1.17,10.33,3.667,3.33,.662,.167,1.00,8.00,7,1.000,,2.67,.484,7.17,5.00,6,7,20
